Marca,Archivo,Fuente,Nota
Alfa Romeo,,,No disponible: HTTP Error 404: Not Found
Audi,audi.svg,https://cdn.simpleicons.org/audi,Simple Icons (verificar uso de marca)
BMW,bmw.svg,https://cdn.simpleicons.org/bmw,Simple Icons (verificar uso de marca)
BYD,,,No disponible: HTTP Error 404: Not Found
Changan,changan.svg,https://commons.wikimedia.org/wiki/File:Changan_icon.svg,Wikimedia Commons; verificar uso de marca
Chery,,,No disponible: HTTP Error 404: Not Found
Chevrolet,chevrolet.svg,https://cdn.simpleicons.org/chevrolet,Simple Icons (verificar uso de marca)
Chrysler,chrysler.svg,https://cdn.simpleicons.org/chrysler,Simple Icons (verificar uso de marca)
Citroën,citroen.svg,https://cdn.simpleicons.org/citroen,Simple Icons (verificar uso de marca)
Dacia,dacia.svg,https://cdn.simpleicons.org/dacia,Simple Icons (verificar uso de marca)
Dodge,,,No disponible: HTTP Error 404: Not Found
Fiat,fiat.svg,https://cdn.simpleicons.org/fiat,Simple Icons (verificar uso de marca)
Ford,ford.svg,https://cdn.simpleicons.org/ford,Simple Icons (verificar uso de marca)
Geely,,,No disponible: HTTP Error 404: Not Found
Haval,,,No disponible: HTTP Error 404: Not Found
Honda,honda.svg,https://cdn.simpleicons.org/honda,Simple Icons (verificar uso de marca)
Hyundai,hyundai.svg,https://cdn.simpleicons.org/hyundai,Simple Icons (verificar uso de marca)
Isuzu,,,No disponible: HTTP Error 404: Not Found
JAC Motors,jac-motors.png,https://commons.wikimedia.org/wiki/File:New_Jac_motors_logo.png,Wikimedia Commons; verificar uso de marca
Jaguar,,,No disponible: HTTP Error 404: Not Found
Jeep,jeep.svg,https://cdn.simpleicons.org/jeep,Simple Icons (verificar uso de marca)
Kia,kia.svg,https://cdn.simpleicons.org/kia,Simple Icons (verificar uso de marca)
Land Rover,,,No disponible: HTTP Error 404: Not Found
Lexus,,,No disponible: HTTP Error 404: Not Found
MG,mg.svg,https://cdn.simpleicons.org/mg,Simple Icons (verificar uso de marca)
MINI,mini.svg,https://cdn.simpleicons.org/mini,Simple Icons (verificar uso de marca)
Mazda,mazda.svg,https://cdn.simpleicons.org/mazda,Simple Icons (verificar uso de marca)
Mercedes-Benz,,,No disponible: HTTP Error 404: Not Found
Mitsubishi,mitsubishi.svg,https://cdn.simpleicons.org/mitsubishi,Simple Icons (verificar uso de marca)
Nissan,nissan.svg,https://cdn.simpleicons.org/nissan,Simple Icons (verificar uso de marca)
Opel,opel.svg,https://cdn.simpleicons.org/opel,Simple Icons (verificar uso de marca)
Peugeot,peugeot.svg,https://cdn.simpleicons.org/peugeot,Simple Icons (verificar uso de marca)
Porsche,porsche.svg,https://cdn.simpleicons.org/porsche,Simple Icons (verificar uso de marca)
RAM,ram.svg,https://cdn.simpleicons.org/ram,Simple Icons (verificar uso de marca)
Renault,renault.svg,https://cdn.simpleicons.org/renault,Simple Icons (verificar uso de marca)
SEAT,seat.svg,https://cdn.simpleicons.org/seat,Simple Icons (verificar uso de marca)
Subaru,subaru.svg,https://cdn.simpleicons.org/subaru,Simple Icons (verificar uso de marca)
Suzuki,suzuki.svg,https://cdn.simpleicons.org/suzuki,Simple Icons (verificar uso de marca)
Tesla,tesla.svg,https://cdn.simpleicons.org/tesla,Simple Icons (verificar uso de marca)
Toyota,toyota.svg,https://cdn.simpleicons.org/toyota,Simple Icons (verificar uso de marca)
Volkswagen,volkswagen.svg,https://cdn.simpleicons.org/volkswagen,Simple Icons (verificar uso de marca)
Volvo,volvo.svg,https://cdn.simpleicons.org/volvo,Simple Icons (verificar uso de marca)
